site,start_timestamp,end_timestamp
FR-R92R-52,2019-06-10 07:01:47.0000000,2019-06-10 07:19:47.0000000
CR-7833,2019-09-11 16:12:33.0000000,2019-09-11 17:13:33.0000000
HB-M918,2020-07-23 18:47:00.0000000,2020-07-23 20:12:00.0000000
BK-R50R-52,2021-05-27 05:36:58.0000000,2021-05-27 06:27:58.0000000
LI-6000,2021-03-13 00:46:51.0000000,2021-03-13 00:58:51.0000000
BK-M18B-52,2019-12-10 19:41:25.0000000,2019-12-10 20:50:25.0000000
BK-R89R-44,2019-04-13 07:14:05.0000000,2019-04-13 08:46:05.0000000
FR-T98Y-60,2021-11-29 15:10:07.0000000,2021-11-29 16:31:07.0000000
TT-M928,2021-09-22 14:51:26.0000000,2021-09-22 16:14:26.0000000
PU-0452,2020-03-02 00:32:04.0000000,2020-03-02 01:07:04.0000000
LW-1200,2020-03-19 03:47:43.0000000,2020-03-19 04:10:43.0000000
MP-2066,2019-01-09 01:02:15.0000000,2019-01-09 02:07:15.0000000
FW-M928,2020-03-27 17:47:07.0000000,2020-03-27 19:20:07.0000000
FR-R92R-62,2022-08-19 06:34:12.0000000,2022-08-19 07:47:12.0000000
LJ-3824,2022-01-23 00:27:13.0000000,2022-01-23 02:08:13.0000000
LE-1400,2022-05-06 08:19:34.0000000,2022-05-06 09:58:34.0000000
SE-M236,2021-08-01 18:34:07.0000000,2021-08-01 19:28:07.0000000
SE-T312,2021-08-01 15:20:43.0000000,2021-08-01 15:41:43.0000000
BK-R64Y-38,2019-08-02 16:23:52.0000000,2019-08-02 18:08:52.0000000
BK-R50B-58,2022-08-11 13:43:43.0000000,2022-08-11 13:51:43.0000000
FW-1400,2019-02-04 22:52:28.0000000,2019-02-04 23:41:28.0000000
HB-R504,2020-09-11 19:16:04.0000000,2020-09-11 20:14:04.0000000
HB-M243,2020-01-03 18:15:16.0000000,2020-01-03 19:41:16.0000000
FR-R92R-56,2019-11-06 20:03:11.0000000,2019-11-06 20:15:11.0000000
BK-T79U-54,2020-08-07 14:04:02.0000000,2020-08-07 14:42:02.0000000
HB-R720,2021-11-26 12:53:18.0000000,2021-11-26 13:37:18.0000000
CA-6738,2020-04-08 08:19:27.0000000,2020-04-08 09:05:27.0000000
FW-3400,2020-06-11 00:36:35.0000000,2020-06-11 02:21:35.0000000
LW-1200,2021-01-01 21:56:48.0000000,2021-01-01 22:43:48.0000000
BK-R89B-48,2020-10-04 18:48:26.0000000,2020-10-04 20:35:26.0000000
LJ-0192-S,2021-05-28 01:18:00.0000000,2021-05-28 02:05:00.0000000
FR-M21B-42,2021-01-09 15:28:05.0000000,2021-01-09 15:35:05.0000000
FR-R38B-62,2020-10-06 07:37:22.0000000,2020-10-06 08:56:22.0000000
LJ-0192-M,2019-01-24 06:08:29.0000000,2019-01-24 06:32:29.0000000
HN-1024,2021-01-06 14:30:25.0000000,2021-01-06 14:43:25.0000000
HN-3416,2022-08-13 00:00:27.0000000,2022-08-13 01:44:27.0000000
BK-M82B-42,2022-04-25 01:04:56.0000000,2022-04-25 02:00:56.0000000
BK-M18B-52,2020-02-02 02:50:27.0000000,2020-02-02 04:18:27.0000000
FR-R38B-52,2019-06-06 18:55:36.0000000,2019-06-06 19:16:36.0000000
SA-M198,2022-07-25 17:13:52.0000000,2022-07-25 18:52:52.0000000
SE-R995,2020-11-27 08:17:12.0000000,2020-11-27 08:54:12.0000000
TT-M928,2022-06-07 14:03:45.0000000,2022-06-07 14:24:45.0000000
HB-M243,2020-06-13 18:16:05.0000000,2020-06-13 19:45:05.0000000
