site,start_timestamp,end_timestamp
BK-R50B-44,2019-09-14 22:07:17.0000000,2019-09-14 23:58:17.0000000
BK-M82S-48,2020-05-23 16:35:35.0000000,2020-05-23 18:00:35.0000000
HB-R504,2019-10-24 16:35:04.0000000,2019-10-24 17:16:04.0000000
FR-R72Y-42,2019-06-02 09:57:47.0000000,2019-06-02 10:00:47.0000000
LJ-3824,2022-01-29 23:45:36.0000000,2022-01-30 01:26:36.0000000
SE-R581,2019-05-17 05:21:34.0000000,2019-05-17 06:28:34.0000000
BK-R89B-58,2020-03-30 02:15:29.0000000,2020-03-30 03:02:29.0000000
HL-U509,2021-11-06 01:11:37.0000000,2021-11-06 03:04:37.0000000
SP-2981,2021-04-20 04:10:11.0000000,2021-04-20 05:09:11.0000000
MT-1000,2021-02-07 01:26:12.0000000,2021-02-07 02:12:12.0000000
LW-3800,2022-01-30 00:49:53.0000000,2022-01-30 01:24:53.0000000
FW-1400,2021-03-31 16:54:23.0000000,2021-03-31 18:07:23.0000000
FR-R92R-56,2021-02-28 01:12:05.0000000,2021-02-28 01:24:05.0000000
RM-R600,2022-04-16 12:16:19.0000000,2022-04-16 14:05:19.0000000
BB-9108,2019-11-19 18:21:18.0000000,2019-11-19 19:41:18.0000000
LI-6000,2022-01-19 01:03:24.0000000,2022-01-19 02:49:24.0000000
FR-M94S-44,2022-03-27 02:53:16.0000000,2022-03-27 03:45:16.0000000
BK-T79Y-46,2021-11-26 19:13:12.0000000,2021-11-26 20:40:12.0000000
SJ-0194-X,2019-05-05 06:57:24.0000000,2019-05-05 07:41:24.0000000
BK-R64Y-48,2022-04-03 01:01:32.0000000,2022-04-03 01:24:32.0000000
HB-R956,2020-11-26 22:08:14.0000000,2020-11-26 23:45:14.0000000
FR-R92R-44,2020-10-04 16:46:06.0000000,2020-10-04 17:01:06.0000000
CL-9009,2022-07-25 10:05:17.0000000,2022-07-25 10:25:17.0000000
FR-M21S-44,2022-04-28 06:15:32.0000000,2022-04-28 07:52:32.0000000
HL-U509,2019-03-09 19:57:22.0000000,2019-03-09 21:32:22.0000000
HB-R956,2021-12-10 17:43:50.0000000,2021-12-10 18:22:50.0000000
EC-R098,2019-05-30 00:53:41.0000000,2019-05-30 01:08:41.0000000
HL-U509,2020-08-26 02:11:47.0000000,2020-08-26 03:04:47.0000000
AR-5381,2021-06-01 21:22:19.0000000,2021-06-01 22:09:19.0000000
FR-R38R-62,2021-06-21 13:00:23.0000000,2021-06-21 13:44:23.0000000
PB-6109,2020-07-27 15:46:21.0000000,2020-07-27 16:59:21.0000000
RW-M928,2022-08-13 19:48:02.0000000,2022-08-13 20:56:02.0000000
LN-3824,2019-09-01 07:46:04.0000000,2019-09-01 08:33:04.0000000
PA-187B,2019-07-09 18:58:54.0000000,2019-07-09 19:04:54.0000000
HN-7162,2020-04-18 01:06:06.0000000,2020-04-18 02:11:06.0000000
FR-M94B-46,2021-05-28 11:39:04.0000000,2021-05-28 12:58:04.0000000
FR-R72Y-40,2019-01-12 01:25:25.0000000,2019-01-12 02:15:25.0000000
CS-4759,2021-10-09 07:46:33.0000000,2021-10-09 09:16:33.0000000
CH-0234,2019-03-30 20:08:49.0000000,2019-03-30 20:43:49.0000000
FW-5800,2019-07-02 08:37:45.0000000,2019-07-02 09:17:45.0000000
BK-M18B-42,2021-10-03 03:00:45.0000000,2021-10-03 04:42:45.0000000
LN-1420,2022-01-25 11:13:08.0000000,2022-01-25 12:48:08.0000000
LJ-0192-S,2021-08-15 22:28:22.0000000,2021-08-15 23:33:22.0000000
BK-M18S-40,2021-04-16 07:07:28.0000000,2021-04-16 07:12:28.0000000
PK-7098,2019-11-08 19:40:16.0000000,2019-11-08 20:35:16.0000000
FR-R38R-62,2021-09-20 17:17:37.0000000,2021-09-20 18:15:37.0000000
DT-2377,2019-05-28 07:36:33.0000000,2019-05-28 08:46:33.0000000
FR-R38B-62,2021-05-09 11:27:33.0000000,2021-05-09 11:30:33.0000000
PD-M340,2021-04-19 06:40:09.0000000,2021-04-19 08:29:09.0000000
GP-0982,2019-05-04 15:34:48.0000000,2019-05-04 16:39:48.0000000
GT-2908,2021-05-20 01:57:47.0000000,2021-05-20 02:35:47.0000000
BK-M68B-42,2020-07-12 02:24:36.0000000,2020-07-12 02:32:36.0000000
HL-U509-R,2021-04-15 14:33:26.0000000,2021-04-15 14:46:26.0000000
HL-U509,2022-03-06 13:38:29.0000000,2022-03-06 15:20:29.0000000
FR-R38B-60,2020-09-09 11:54:07.0000000,2020-09-09 13:02:07.0000000
FR-M21S-40,2022-04-02 07:47:05.0000000,2022-04-02 08:53:05.0000000
LJ-0192-X,2021-07-01 07:40:02.0000000,2021-07-01 08:59:02.0000000
LN-5811,2019-02-02 00:46:10.0000000,2019-02-02 01:19:10.0000000
BK-M18B-52,2022-05-10 04:07:52.0000000,2022-05-10 05:49:52.0000000
BK-R89B-48,2019-05-02 13:50:05.0000000,2019-05-02 15:21:05.0000000
FR-M21S-42,2019-02-18 03:14:05.0000000,2019-02-18 04:47:05.0000000
FR-R92B-44,2022-03-18 11:56:45.0000000,2022-03-18 12:13:45.0000000
FW-3400,2019-10-03 02:56:54.0000000,2019-10-03 04:23:54.0000000
LN-3416,2019-05-08 02:53:15.0000000,2019-05-08 04:09:15.0000000
BK-R50R-62,2022-04-10 22:37:31.0000000,2022-04-10 22:49:31.0000000
HN-8320,2021-12-10 17:00:42.0000000,2021-12-10 18:25:42.0000000
CL-9009,2019-07-11 21:10:52.0000000,2019-07-11 21:32:52.0000000
EC-M092,2021-03-19 16:00:10.0000000,2021-03-19 17:14:10.0000000
FR-R92R-52,2020-02-24 17:01:02.0000000,2020-02-24 17:53:02.0000000
BK-M68S-46,2021-03-10 03:29:43.0000000,2021-03-10 05:07:43.0000000
LR-2398,2021-09-28 19:54:18.0000000,2021-09-28 20:06:18.0000000
BK-T18Y-50,2020-04-11 10:37:30.0000000,2020-04-11 11:47:30.0000000
BK-M38S-40,2021-06-27 18:21:17.0000000,2021-06-27 19:14:17.0000000
BK-M68B-42,2022-09-24 10:57:34.0000000,2022-09-24 11:41:34.0000000
FR-R92R-62,2020-10-23 02:33:37.0000000,2020-10-23 03:15:37.0000000
SS-2985,2021-05-04 17:14:53.0000000,2021-05-04 18:33:53.0000000
BK-R68R-60,2020-04-06 06:06:28.0000000,2020-04-06 06:17:28.0000000
FR-T67Y-62,2020-03-07 22:06:06.0000000,2020-03-07 23:45:06.0000000
MP-2503,2020-11-24 19:54:35.0000000,2020-11-24 21:47:35.0000000
LN-7161,2019-09-27 08:43:52.0000000,2019-09-27 09:01:52.0000000
RM-R600,2019-06-01 05:53:55.0000000,2019-06-01 07:07:55.0000000
FR-R38R-52,2022-01-30 01:02:24.0000000,2022-01-30 02:37:24.0000000
LJ-0192-M,2022-06-19 16:43:06.0000000,2022-06-19 17:11:06.0000000
LN-6320,2019-06-22 07:15:07.0000000,2019-06-22 08:07:07.0000000
FR-R38B-58,2019-07-26 12:08:11.0000000,2019-07-26 13:49:11.0000000
FR-R92B-48,2021-05-23 19:39:21.0000000,2021-05-23 20:29:21.0000000
FR-M94S-52,2021-11-13 01:19:56.0000000,2021-11-13 02:22:56.0000000
BK-R89B-58,2021-08-04 02:53:08.0000000,2021-08-04 03:02:08.0000000
FR-M21B-48,2021-08-09 15:46:45.0000000,2021-08-09 16:24:45.0000000
FR-R38R-48,2021-10-18 09:40:50.0000000,2021-10-18 11:18:50.0000000
FR-R92B-44,2019-07-01 17:46:45.0000000,2019-07-01 19:21:45.0000000
HN-4402,2021-06-16 05:35:50.0000000,2021-06-16 05:46:50.0000000
HJ-1420,2019-10-09 10:41:25.0000000,2019-10-09 10:44:25.0000000
BB-8107,2019-06-15 18:11:13.0000000,2019-06-15 19:20:13.0000000
FR-M94B-38,2019-12-16 18:40:14.0000000,2019-12-16 20:19:14.0000000
LJ-3416,2022-08-31 11:02:54.0000000,2022-08-31 12:47:54.0000000
LN-1024,2022-09-05 18:35:53.0000000,2022-09-05 20:30:53.0000000
HL-U509-B,2021-01-07 05:03:04.0000000,2021-01-07 05:04:04.0000000
BK-R50B-60,2022-09-18 14:25:50.0000000,2022-09-18 15:19:50.0000000
BK-M82S-44,2021-07-28 22:04:09.0000000,2021-07-28 23:16:09.0000000
HB-M763,2019-08-14 13:27:33.0000000,2019-08-14 14:56:33.0000000
BK-R93R-62,2021-01-11 15:04:14.0000000,2021-01-11 15:34:14.0000000
HB-T928,2019-01-27 12:28:51.0000000,2019-01-27 12:34:51.0000000
VE-C304-L,2021-05-28 21:14:56.0000000,2021-05-28 22:57:56.0000000
BK-R89B-48,2019-05-01 19:07:39.0000000,2019-05-01 20:40:39.0000000
FH-2981,2020-04-02 00:23:40.0000000,2020-04-02 01:59:40.0000000
FR-R38B-58,2020-10-06 02:58:17.0000000,2020-10-06 04:46:17.0000000
HT-2981,2022-08-07 17:00:16.0000000,2022-08-07 17:42:16.0000000
HU-6280,2020-05-21 17:54:31.0000000,2020-05-21 18:44:31.0000000
HJ-3824,2021-06-05 03:45:55.0000000,2021-06-05 05:25:55.0000000
FR-M63B-48,2019-03-09 06:44:01.0000000,2019-03-09 07:32:01.0000000
MS-0253,2021-01-31 06:21:42.0000000,2021-01-31 07:14:42.0000000
FR-R92B-62,2020-02-10 10:01:33.0000000,2020-02-10 10:19:33.0000000
FW-R623,2022-06-28 19:21:40.0000000,2022-06-28 20:34:40.0000000
LN-1428,2019-03-13 02:39:48.0000000,2019-03-13 03:19:48.0000000
FR-R72Y-40,2020-07-11 15:35:48.0000000,2020-07-11 16:34:48.0000000
RA-7490,2021-12-19 12:36:03.0000000,2021-12-19 14:18:03.0000000
SH-W890-S,2019-01-19 14:33:24.0000000,2019-01-19 15:24:24.0000000
LJ-1220,2019-06-26 08:17:37.0000000,2019-06-26 10:00:37.0000000
LN-3410,2022-04-09 21:04:23.0000000,2022-04-09 22:12:23.0000000
HJ-3410,2019-01-26 19:43:47.0000000,2019-01-26 20:48:47.0000000
BK-M68B-42,2021-03-26 04:37:40.0000000,2021-03-26 06:14:40.0000000
LE-5160,2019-06-11 00:26:10.0000000,2019-06-11 02:06:10.0000000
LI-5800,2022-09-27 11:49:14.0000000,2022-09-27 12:38:14.0000000
BK-R50R-44,2020-06-03 08:40:20.0000000,2020-06-03 09:06:20.0000000
BK-M82S-48,2022-07-12 01:28:21.0000000,2022-07-12 01:30:21.0000000
BK-R68R-60,2022-02-13 03:33:06.0000000,2022-02-13 03:53:06.0000000
BK-R79Y-48,2022-03-19 19:07:50.0000000,2022-03-19 19:32:50.0000000
PK-7098,2021-03-20 11:05:02.0000000,2021-03-20 12:11:02.0000000
FR-M21S-48,2021-05-22 19:51:35.0000000,2021-05-22 21:18:35.0000000
BK-R89B-58,2022-01-07 08:58:52.0000000,2022-01-07 09:05:52.0000000
BK-R50R-48,2020-05-13 22:35:47.0000000,2020-05-13 23:37:47.0000000
FR-T67Y-50,2019-01-09 02:40:16.0000000,2019-01-09 03:25:16.0000000
SO-B909-M,2021-10-20 03:26:11.0000000,2021-10-20 05:09:11.0000000
BK-M18B-52,2019-07-01 13:45:39.0000000,2019-07-01 14:47:39.0000000
FR-M94S-42,2020-09-06 17:43:57.0000000,2020-09-06 18:01:57.0000000
FR-M94B-46,2019-02-15 13:42:53.0000000,2019-02-15 15:35:53.0000000
TI-M823,2021-04-06 00:54:41.0000000,2021-04-06 01:01:41.0000000
SA-M198,2020-09-27 22:50:56.0000000,2020-09-28 00:18:56.0000000
SJ-0194-M,2021-10-19 04:13:17.0000000,2021-10-19 04:47:17.0000000
CL-9009,2019-12-20 18:30:57.0000000,2019-12-20 20:26:57.0000000
LT-H903,2021-01-04 06:57:23.0000000,2021-01-04 08:22:23.0000000
SE-R581,2022-05-07 03:50:14.0000000,2022-05-07 04:44:14.0000000
FR-R92R-44,2019-01-17 05:03:21.0000000,2019-01-17 06:02:21.0000000
MS-6061,2022-04-26 07:33:42.0000000,2022-04-26 09:16:42.0000000
FR-R92B-52,2019-07-30 10:22:21.0000000,2019-07-30 11:03:21.0000000
BK-R89R-58,2020-07-04 04:03:06.0000000,2020-07-04 04:30:06.0000000
FR-R92R-48,2020-11-23 12:00:37.0000000,2020-11-23 13:11:37.0000000
EC-M092,2022-08-29 01:42:36.0000000,2022-08-29 01:51:36.0000000
FR-R72R-44,2020-08-21 04:37:33.0000000,2020-08-21 05:29:33.0000000
FR-R92R-44,2020-07-04 12:22:38.0000000,2020-07-04 12:25:38.0000000
BK-R50B-58,2021-07-17 05:11:41.0000000,2021-07-17 05:13:41.0000000
GL-H102-M,2020-10-22 15:23:19.0000000,2020-10-22 15:39:19.0000000
FR-R92R-56,2020-01-05 01:46:32.0000000,2020-01-05 03:38:32.0000000
FR-R92R-48,2021-03-22 22:31:33.0000000,2021-03-23 00:08:33.0000000
HN-7161,2019-05-29 20:28:48.0000000,2019-05-29 21:01:48.0000000
HN-3824,2020-01-04 19:12:54.0000000,2020-01-04 19:24:54.0000000
BK-R89R-48,2020-08-12 19:15:02.0000000,2020-08-12 21:11:02.0000000
BK-R50R-52,2021-06-02 11:52:37.0000000,2021-06-02 12:36:37.0000000
BK-R50B-44,2022-10-03 11:57:06.0000000,2022-10-03 12:36:06.0000000
